Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
What is the time zone of Salt Lake City?,['http://dbpedia.org/resource/Salt_Lake_City'],['http://dbpedia.org/ontology/timeZone'],['http://dbpedia.org/resource/Salt_Lake_City'],1.0,1.0,['http://dbpedia.org/ontology/timeZone'],1.0,1.0
Who killed Caesar?,[],['ct:subjec'],['http://dbpedia.org/resource/Julius_Caesar'],1,1,['http://dbpedia.org/ontology/billed'],0.0,0.0
What is the highest mountain in Germany?,['http://dbpedia.org/resource/Germany'],[],['http://dbpedia.org/resource/Germany'],1.0,1.0,['http://dbpedia.org/ontology/elevation'],1,1
Which American presidents were in office during the Vietnam War?,['http://dbpedia.org/resource/Vietnam_War'],"['ct:subjec', 'http://dbpedia.org/ontology/commander']","['http://dbpedia.org/resource/Territories_of_the_United_States', 'http://dbpedia.org/resource/Museum_of_American_Presidents', 'http://dbpedia.org/resource/Vietnam_War']",0.3333333333333333,1.0,"['http://dbpedia.org/ontology/office', 'http://dbpedia.org/ontology/country']",0.0,0.0
Butch Otter is the governor of which U.S. state?,['http://dbpedia.org/resource/Butch_Otter'],[],"['http://dbpedia.org/resource/Butch_Otter', 'http://dbpedia.org/resource/Carrington_College_(US)']",0.5,1.0,['http://dbpedia.org/ontology/governor'],1,1
How many gold medals did Michael Phelps win at the 2008 Olympics?,[],"['http://dbpedia.org/ontology/goldMedalist', 'contain']","['http://dbpedia.org/resource/Michael_Phelps', 'http://dbpedia.org/resource/2008_Summer_Olympics']",1,1,"['http://dbpedia.org/ontology/goldMedalist', 'http://dbpedia.org/ontology/award']",0.5,0.5
Which artists were born on the same date as Rachel Stevens?,[],"['http://dbpedia.org/ontology/birthDate', 'http://dbpedia.org/ontology/birthDate']",['http://dbpedia.org/resource/Rachel_Stevens'],1,1,"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/birthPlace']",0.0,0.0
What is the profession of Frank Herbert?,['http://dbpedia.org/resource/Frank_Herbert'],['bpedia2:occupatio'],['http://dbpedia.org/resource/Frank_Herbert'],1.0,1.0,['http://dbpedia.org/ontology/profession'],0.0,0.0
Are Taiko some kind of Japanese musical instrument?,['http://dbpedia.org/resource/Taiko'],[],"['http://dbpedia.org/resource/Taiko', 'http://dbpedia.org/resource/Kansai_region', 'http://dbpedia.org/resource/Musical_instrument']",0.3333333333333333,1.0,['http://dbpedia.org/ontology/country'],1,1
How many seats does the home stadium of FC Porto have?,[],"['http://dbpedia.org/ontology/ground', 'http://dbpedia.org/ontology/capacity', 'http://dbpedia.org/property/capacity']","['http://dbpedia.org/resource/FC', 'http://dbpedia.org/resource/Porto']",1,1,"['http://dbpedia.org/ontology/residence', 'http://dbpedia.org/property/ground']",0.5,0.3333333333333333
Which frequent flyer program has the most airlines?,[],['http://dbpedia.org/property/frequentFlyer'],['http://dbpedia.org/resource/Frequent-flyer_program'],1,1,['http://dbpedia.org/ontology/iataAirlineCode'],0.0,0.0
Which European countries have a constitutional monarchy?,[],['ct:subjec'],"['http://dbpedia.org/resource/Geography_of_Europe', 'http://dbpedia.org/resource/List_of_fictional_European_countries']",1,1,"['http://dbpedia.org/property/crown', 'http://dbpedia.org/ontology/country']",0.0,0.0
Which countries have places with more than two caves?,[],[],[],1,1,"['http://dbpedia.org/ontology/province', 'http://dbpedia.org/ontology/height', 'http://dbpedia.org/property/associatedCaves']",1,1
"Which airports are located in California, USA?","['http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/California', 'http://dbpedia.org/resource/California']",['http://dbpedia.org/ontology/isPartOf'],"['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/California']",0.5,0.25,"['http://dbpedia.org/ontology/person', 'http://dbpedia.org/ontology/garrison']",0.0,0.0
What are the nicknames of San Francisco?,['http://dbpedia.org/resource/San_Francisco'],['oaf:nic'],['http://dbpedia.org/resource/San_Francisco'],1.0,1.0,['http://dbpedia.org/ontology/person'],0.0,0.0
What is Angela Merkel’s birth name?,['http://dbpedia.org/resource/Angela_Merkel'],['http://dbpedia.org/property/birthName'],['http://dbpedia.org/resource/Name_at_birth'],0.0,0.0,[],0,0.0
Who is the mayor of Berlin?,['http://dbpedia.org/resource/Berlin'],['http://dbpedia.org/property/leader'],['http://dbpedia.org/resource/Berlin'],1.0,1.0,['http://dbpedia.org/ontology/mayor'],0.0,0.0
Which countries in the European Union adopted the Euro?,['http://dbpedia.org/resource/Euro'],[],"['http://dbpedia.org/resource/Geography_of_Europe', 'http://dbpedia.org/resource/European_Union']",0.0,0.0,"['http://dbpedia.org/property/countries', 'http://dbpedia.org/ontology/country']",1,1
Which software has been published by Mean Hamster Software?,['http://dbpedia.org/resource/Mean_Hamster_Software'],[],['http://dbpedia.org/resource/Mean_Hamster_Software'],1.0,1.0,"['http://dbpedia.org/property/software', 'http://dbpedia.org/ontology/publisher']",1,1
Which country was Bill Gates born in?,[],"['http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/isPartOf', 'http://dbpedia.org/ontology/country']",['http://dbpedia.org/resource/Bill_Gates'],1,1,"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/birthYear']",0.5,0.25
How many grand-children did Jacques Cousteau have?,['http://dbpedia.org/resource/Jacques_Cousteau'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/child']",['http://dbpedia.org/resource/Jacques_Cousteau'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,0.5
Give me all professional skateboarders from Sweden.,[],"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/country']",['http://dbpedia.org/resource/Sweden'],1,1,['http://dbpedia.org/ontology/person'],0.0,0.0
Which monarchs of the United Kingdom were married to a German?,['http://dbpedia.org/resource/Germany'],['http://dbpedia.org/ontology/birthPlace'],"['http://dbpedia.org/resource/United_Kingdom', 'http://dbpedia.org/resource/German']",0.0,0.0,"['http://dbpedia.org/ontology/leader', 'http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/country']",0.0,0.0
Give me all Argentine films.,['http://dbpedia.org/resource/Argentina'],[],['http://dbpedia.org/resource/Lists_of_Argentine_films'],0.0,0.0,[],1,1
How did Michael Jackson die?,['http://dbpedia.org/resource/Michael_Jackson'],['http://dbpedia.org/property/deathCause'],['http://dbpedia.org/resource/Michael_Jackson'],1.0,1.0,['http://dbpedia.org/ontology/deathCause'],1.0,1.0
Which U.S. state has been admitted latest?,[],['ct:subjec'],['http://dbpedia.org/resource/United_States'],1,1,['http://dbpedia.org/ontology/person'],0.0,0.0
Which classes does the Millepede belong to?,['http://dbpedia.org/resource/Millipede'],['http://dbpedia.org/property/taxon'],['http://dbpedia.org/resource/Glomeris_marginata'],0.0,0.0,"['http://dbpedia.org/ontology/classes', 'http://dbpedia.org/ontology/family']",0.0,0.0
Give me the homepage of Forbes.,['http://dbpedia.org/resource/Forbes'],['oaf:homepag'],['http://dbpedia.org/resource/Forbes'],1.0,1.0,[],0,0.0
Who is the husband of Amanda Palmer?,['http://dbpedia.org/resource/Amanda_Palmer'],['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Amanda_Palmer'],1.0,1.0,['http://dbpedia.org/property/spouse'],1.0,1.0
Who painted The Storm on the Sea of Galilee?,['http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee'],1.0,1.0,['http://dbpedia.org/ontology/author'],1.0,1.0
What is the highest place of Karakoram?,['http://dbpedia.org/resource/Karakoram'],['http://dbpedia.org/property/highest'],['http://dbpedia.org/resource/Karakoram'],1.0,1.0,['http://dbpedia.org/ontology/name'],0.0,0.0
When did Finland join the EU?,['http://dbpedia.org/resource/Finland'],['http://dbpedia.org/property/accessioneudate'],"['http://dbpedia.org/resource/Basque_language', 'http://dbpedia.org/resource/Join']",0.0,0.0,['http://dbpedia.org/property/date'],0.0,0.0
Which actors play in Big Bang Theory?,['http://dbpedia.org/resource/The_Big_Bang_Theory'],['http://dbpedia.org/ontology/starring'],['http://dbpedia.org/resource/The_Big_Bang_(1987_film)'],0.0,0.0,"['http://dbpedia.org/ontology/background', 'http://dbpedia.org/ontology/starring']",0.5,1.0
Which computer scientist won an oscar?,"['http://dbpedia.org/resource/Computer_science', 'http://dbpedia.org/resource/Academy_Award']",['http://dbpedia.org/ontology/field'],[],0,0.0,"['http://dbpedia.org/property/inventor', 'http://dbpedia.org/ontology/award', 'http://dbpedia.org/property/oscar']",0.0,0.0
Who wrote Harry Potter?,['http://dbpedia.org/resource/Harry_Potter'],['http://dbpedia.org/property/author'],['http://dbpedia.org/resource/Harry_Potter'],1.0,1.0,['http://dbpedia.org/ontology/composer'],0.0,0.0
Give me all writers that won the Nobel Prize in literature.,['http://dbpedia.org/resource/Nobel_Prize_in_Literature'],[],['http://dbpedia.org/resource/Nobel_Prize'],0.0,0.0,"['http://dbpedia.org/ontology/writer', 'http://dbpedia.org/ontology/award', 'http://dbpedia.org/property/literature']",1,1
